anno;rilevatore;mese;giorno_settimana;fascia_oraria;comune;nome_strada;tipo_luogo;indirizzo;lon;lat;kmt_etm;fondo;segnaletica;meteo;natura;des_circ_a;des_circ_b;veicolo_a;avaria_a;des_psico_a;veicolo_b;avaria_b;des_psico_b;veicolo_c;veicoli_oltre_a_b_c;pedoni_morti_feriti;tot_morti;tot_feriti
2019;Polizia Municipale;11;Domenica;Pomeriggio;SAN VITO DI LEGUZZANO;SP 046 Pasubio;Intersezione segnalata;VIA VICENZA INCROCIO VIA LEOGRA;11.3970114;45.6871348;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva regolarmente senza svoltare;;Motociclo a solo;;;Autovettura privata;;;;0;0;0;1
2019;Polizia Municipale;10;Giovedì;Pomeriggio;MALO;SP 046 Pasubio;Rettilineo;VIA SCHIO INTERSEZIONE ROTATORIA CON VIA THIENE;11.4031550;45.6775235;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Manovrava per immettersi nel flusso della circolazione;;Autovettura privata;;;Velocipede;;;;0;0;0;1
2019;Polizia Municipale;1;Giovedì;Mattino;MALO;SP 046 Pasubio;Rotatoria;VIA PASUBIO, MUZZANA,VITTORIOVENETO ROTATORIA N.61, 1;11.4144325;45.6582074;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza rispettare il segnale di dare precedenza  (art.145);;Autovettura privata;;;Ciclomotore;;;;0;0;0;1
2019;Polizia Municipale;12;Sabato;Pomeriggio;SANTORSO;SP 350 Val d'Astico;Rettilineo;"VIA MARTIRI DELLA LIBERTA' ALTEZZA DISTRIBUTORE ""BEYFIN""";11.4165540;45.7421254;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva con eccesso di velocità (art.141);;Autovettura privata;;;Autovettura privata;;;Autovettura privata;1;0;0;4
2019;Carabiniere;12;Venerdì;Sera;MALO;SP 046 Pasubio;Incrocio;VIA LEONARDO DA VINCI INCROCIO VIA CA' CROSARA;11.4181800;45.6539900;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva regolarmente senza svoltare;;Ciclomotore;;;Autovettura privata;;;;0;0;0;1
2019;Polizia Municipale;12;Martedì;Sera;MALO;SP 046 Pasubio;Incrocio;VIA PASUBIO, SAN GIOVANNI, CA' CROSARA;11.4181932;45.6540296;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva regolarmente senza svoltare;;Autovettura privata;;Anormale per ebbrezza da alcool (art. 186);Autovettura privata;;;;0;0;0;2
2019;Carabiniere;11;Lunedì;Notte;MALO;SP 046 Pasubio;Intersezione con semaforo o vigile;VIA LEONARDO DA VINCI INCROCIO VIA SAN GIOVANNI;11.4182300;45.6540000;0;Bagnato;Assente;Sereno;Scontro frontale-laterale;Procedeva con eccesso di velocità (art.141);;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
2019;Polizia Municipale;2;Venerdì;Pomeriggio;MALO;SP 046 Pasubio;Rettilineo;VIA L. DA VINCI, 43;11.4226007;45.6492047;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Manovrava per immettersi nel flusso della circolazione;;Autovettura privata;;;Motociclo a solo;;Anormale per ebbrezza da alcool (art. 186);;0;0;0;1
2019;Polizia Municipale;10;Martedì;Pomeriggio;MALO;SP 046 Pasubio;Rettilineo;VIA L. DA VINCI;11.4228503;45.6488878;15.56;Asciutto;;Altro;Scontro frontale-laterale;Procedeva regolarmente;;Autovettura privata;;;Velocipede;;;;0;0;0;1
2019;Carabiniere;3;Lunedì;Pomeriggio;MALO;SP 046 Pasubio;Incrocio;VIA LEONARDO DA VINCI INCROCIO VIA MARCO POLO;11.4235300;45.6482400;0;Asciutto;Assente;Sereno;Scontro frontale-laterale;Procedeva senza rispettare lo stop  (art.145);;Autovettura privata;;;Autovettura privata;;;;0;0;0;1
